key,num,numz,dynamic_time_warping,cosine_similarity_distance,pearson_correlation,manhattan_distance,euclidean_distance,tanimoto_similarity
CA00406_C,17,48,135.79,0.562,0.152,2566.5937,521.221,0.3542
LMPR0104320002_C,4,45,288.4543,0.0239,-0.5236,3487.5425,646.8648,0.0889
CA00283_C,13,46,135.1077,0.5237,0.1168,2621.9593,551.1426,0.2826
CA00989_C,13,46,157.1275,0.5384,0.1407,2476.0153,499.2408,0.2826
LMPR0103190001_C,5,38,190.3323,0.1823,-0.2962,2743.0906,577.2007,0.1316
LMPR0103410004_C,3,39,125.1859,0.117,-0.3466,2666.5249,541.5782,0.0769
CA01191_C,18,43,52.0482,0.7412,0.4888,1593.038,393.8235,0.4186
LMPR01070772_C,19,38,116.6434,0.6939,0.3238,1582.7062,440.8984,0.5
LMPR0106180029_C,10,47,736.0349,0.0888,-0.6982,2675.925,522.0424,0.2128
LMPR02030032_C,13,48,171.1088,0.383,-0.0921,2927.5551,587.7473,0.2708
LMPR0102070045_C,4,45,363.5785,0.2649,-0.2697,3416.045,623.7793,0.0889
CA00918_C,15,37,40.4272,0.6661,0.3376,1595.178,403.6605,0.4054
LMPR04000041_C,9,48,149.5265,0.2007,-0.3254,2603.8177,512.8296,0.1875
LMPR0105010001_C,7,45,123.0802,0.2139,-0.2695,2749.136,542.9058,0.1556
LMPR0106150027_C,9,48,195.3558,0.1358,-0.3999,2834.4634,552.5228,0.1875
LMPR03030004_C,8,36,76.3115,0.2517,-0.2411,2337.6082,511.3151,0.2222
LMPR01070208_C,9,30,345.4869,0.5871,0.2864,1568.3752,424.3572,0.3
LMPR0103480001_C,6,36,129.9139,0.2753,-0.1598,2256.3023,498.4316,0.1667
CA01090_C,11,41,191.4753,0.3949,-0.1103,2718.1173,577.1008,0.2683
CA00962_C,15,53,118.6124,0.5606,0.1828,2993.1282,561.4095,0.283
LMPR0104170021_C,2,45,369.2652,0.0185,-0.5059,3304.1067,609.2175,0.0444
CA00357_C,12,35,63.8618,0.6885,0.411,1482.8594,369.924,0.3429
LMPR0103050010_C,3,40,248.7304,0.0971,-0.4413,3270.8913,634.1722,0.075
CA00882_C,14,40,190.7217,0.5658,0.1489,2114.5843,515.6734,0.35
LMPR0106140009_C,8,49,259.9596,0.0718,-0.5055,3040.9742,574.4416,0.1633
LMPR01070085_C,12,36,89.2143,0.5799,0.2267,1786.306,432.4306,0.3333
CA00092_C,18,47,47.7837,0.5937,0.21,2405.1958,513.1964,0.383
